,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t26,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,521.960301168217,-5.129263949617028,-8030.996816894584,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2292.940793651139,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-521.960301168217,-5.129263949617028,-1094.7458352883298
t27,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,537.1720767644202,-5.278748904700084,-7913.2252491895515,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2260.1698667208857,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-537.1720767644202,-5.278748904700084,-1079.3845747370435
t28,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,536.1579583913397,-5.268783241027876,-7919.369852721987,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2262.218049654027,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-536.1579583913397,-5.268783241027876,-1080.408658773796
t29,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,503.7061704527729,-4.949882003517359,-8165.15399401945,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2331.856269380815,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-503.7061704527729,-4.949882003517359,-1113.1793479498733
t30,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,403.30845151783205,-3.963281299969196,-8913.771524387972,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2544.867294427459,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-403.30845151783205,-3.963281299969196,-1214.5636675883623
t31,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,218.73890761723393,-2.149530511628124,-10275.825307411409,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2934.0220517242133,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-218.73890761723393,-2.149530511628124,-1400.9469622773017
t32,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,116.31295193613285,-1.1429984807355549,-11040.828447199761,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3153.17762557028,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-116.31295193613285,-1.1429984807355549,-1504.3794499892954
t33,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,143.9197953450588,-1.4142888189915515,-11205.708641986808,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3201.309924499089,51.43206659248752,0.0,-0.0,0.0,-0.0,0.0,0.0,-143.9197953450588,-1.4142888189915515,-1527.9333828346007
t34,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,179.57795192831964,-1.7646987958862739,-11298.901795562095,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3226.912211163349,99.72964159367186,0.0,-0.0,0.0,-0.0,0.0,0.0,-179.57795192831964,-1.7646987958862739,-1540.2223912756297
t35,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,180.63293139579355,-1.7750659984072117,-11386.974446193686,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3252.5144978276094,113.08399670469592,0.0,-0.0,0.0,-0.0,0.0,0.0,-180.63293139579355,-1.7750659984072117,-1552.5113997166586
