region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
USA_Single,natural_gas_steam_turbine2,1,2,32,0.0,0.0,8.614476e6,0.0,728368.6875,2.256853321858206e7,0.0,0.0,0.0,4.1974156e7,0.0,0.0,0.0,0.0,0.0,4.1974156e7,3.191137790608206e7,1.006277809391794e7
USA_Single,nuclear,1,1,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,onshore_wind_turbine,1,1,34,0.0,0.0,5.17984745e8,0.0,0.0,0.0,0.0,0.0,0.0,8.625539e8,0.0,0.0,0.0,0.0,0.0,8.6255392e8,5.17984745e8,3.44569175e8
USA_Single,small_hydroelectric,1,1,35,0.0,0.0,2.388416e7,0.0,0.0,0.0,0.0,0.0,0.0,5.4864948e7,0.0,0.0,0.0,0.0,0.0,5.4864948e7,2.388416e7,3.0980788e7
USA_Single,solar_photovoltaic,1,1,36,0.0,0.0,8.106196e7,0.0,0.0,0.0,0.0,0.0,0.0,3.2624646e8,0.0,0.0,0.0,0.0,0.0,3.26246464e8,8.106196e7,2.45184504e8
USA_Single,naturalgas_ccavgcf_mid,1,0,37,5.20875237666549e8,0.0,6.634630610162418e7,0.0,5.162816736e7,5.994745982202895e8,0.0,0.0,0.0,1.2383244e9,0.0,0.0,0.0,0.0,0.0,1.238324352e9,1.2383243093484626e9,42.65153741836548
USA_Single,naturalgas_ctavgcf_mid,1,0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,battery_mid,1,0,39,2.2295472217694268e8,9.35417165989972e8,5.549037500935469e7,2.3285006888543838e8,0.0,0.0,0.0,0.0,-7.6089274e8,6.858196e8,0.0,0.0,0.0,0.0,0.0,6.85819584e8,6.858195960617077e8,-12.061707735061646
USA_Single,nuclear_mid,1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,naturalgas_ccs100_mid,1,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_1,1,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_2,1,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_3,1,3,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_4,1,4,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_5,1,5,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_6,1,6,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_7,1,7,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_8,1,8,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_9,1,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_10,1,10,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_11,1,11,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_12,1,12,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_13,1,13,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_14,1,14,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_15,1,15,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,utilitypv_losangeles_mid_0_2_1,1,1,57,2.970257289453168e8,0.0,4.026066434791846e7,0.0,0.0,0.0,0.0,0.0,0.0,3.372864e8,0.0,0.0,0.0,0.0,0.0,3.372864e8,3.3728639329323524e8,6.706764757633209
USA_Single,utilitypv_losangeles_mid_0_2_2,1,2,58,3.97966464e8,0.0,5.3622828e7,0.0,0.0,0.0,0.0,0.0,0.0,4.6031072e8,0.0,0.0,0.0,0.0,0.0,4.6031072e8,4.51589292e8,8.721428e6
USA_Single,utilitypv_losangeles_mid_0_2_3,1,3,59,4.236494168641035e7,0.0,5.777499074880136e6,0.0,0.0,0.0,0.0,0.0,0.0,4.814244e7,0.0,0.0,0.0,0.0,0.0,4.814244e7,4.814244076129049e7,-0.7612904906272888
