Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,425,71874
,,,,,,,,426,73437
,,,,,,,,427,73687
,,,,,,,,428,72304
,,,,,,,,429,69522
,,,,,,,,430,65923
,,,,,,,,431,59331
,,,,,,,,432,46468
,,,,,,,,433,37846
,,,,,,,,434,32936
,,,,,,,,435,31578
,,,,,,,,436,34272
,,,,,,,,437,41754
,,,,,,,,438,51182
,,,,,,,,439,59660
,,,,,,,,440,69016
,,,,,,,,441,71783
,,,,,,,,442,70196
,,,,,,,,443,68794
,,,,,,,,444,67609
,,,,,,,,445,66756
,,,,,,,,446,66230
,,,,,,,,447,66662
,,,,,,,,448,68558
,,,,,,,,449,71010
,,,,,,,,450,72333
,,,,,,,,451,72419
,,,,,,,,452,70785
,,,,,,,,453,67675
,,,,,,,,454,63937
,,,,,,,,455,57310
,,,,,,,,456,44399
,,,,,,,,457,35965
,,,,,,,,458,31186
,,,,,,,,459,29384
,,,,,,,,460,31564
,,,,,,,,461,38383
,,,,,,,,462,47365
,,,,,,,,463,56104
,,,,,,,,464,67057
,,,,,,,,465,69771
,,,,,,,,466,69147
,,,,,,,,467,68295
,,,,,,,,468,67650
,,,,,,,,469,66959
,,,,,,,,470,66491
,,,,,,,,471,66658
,,,,,,,,472,68094
,,,,,,,,473,69481
,,,,,,,,474,69814
,,,,,,,,475,69293
,,,,,,,,476,67588
,,,,,,,,477,64954
,,,,,,,,478,61772
,,,,,,,,479,58543
,,,,,,,,480,52649
,,,,,,,,481,49853
,,,,,,,,482,49295
,,,,,,,,483,48779
,,,,,,,,484,49730
,,,,,,,,485,51029
,,,,,,,,486,52623
,,,,,,,,487,58607
,,,,,,,,488,62941
,,,,,,,,489,65049
,,,,,,,,490,65769
,,,,,,,,491,65638
,,,,,,,,492,64852
,,,,,,,,493,63837
,,,,,,,,494,63044
,,,,,,,,495,62999
,,,,,,,,496,64305
,,,,,,,,497,66267
,,,,,,,,498,67060
,,,,,,,,499,66926
,,,,,,,,500,65684
,,,,,,,,501,63530
,,,,,,,,502,60837
,,,,,,,,503,57846
,,,,,,,,504,53815
,,,,,,,,505,49922
,,,,,,,,506,45782
,,,,,,,,507,43736
,,,,,,,,508,46915
,,,,,,,,509,52103
,,,,,,,,510,54893
,,,,,,,,511,57774
,,,,,,,,512,60932
,,,,,,,,513,62222
,,,,,,,,514,62537
,,,,,,,,515,62638
,,,,,,,,516,62552
,,,,,,,,517,62173
,,,,,,,,518,61917
,,,,,,,,519,62243
,,,,,,,,520,63909
,,,,,,,,521,65989
,,,,,,,,522,66903
,,,,,,,,523,66736
,,,,,,,,524,64866
,,,,,,,,525,62218
,,,,,,,,526,59065
,,,,,,,,527,55585
,,,,,,,,528,51599
,,,,,,,,529,45996
,,,,,,,,530,39669
,,,,,,,,531,39202
,,,,,,,,532,40897
,,,,,,,,533,46832
,,,,,,,,534,54963
,,,,,,,,535,63137
,,,,,,,,536,66692
,,,,,,,,537,67688
,,,,,,,,538,67508
