region,Resource,Resource_Type,cluster,R_ID,Zone,CapRes_1,THERM,STOR,DR,HEAT,NACC,TRADER,HYDRO,FLEX,MUST_RUN,VRE,Num_VRE_Bins,ESR_1,ESR_2,Existing_Cap_MWh,Existing_Charge_Cap_MW,Existing_Cap_MW,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time
USA_Single,natural_gas_fired_combustion_turbine3,natural_gas_fired_combustion_turbine3,3,28,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463,0,1,0,0,0,-1,0,-1,0,11065,0,0,0,0,4.41,0,113,3.5,11.58,west_north_central_naturalgas,0.482,0,1,1,1,0,0,0,0,0,3.78,3.78,1,1
USA_Single,natural_gas_fired_combustion_turbine4,natural_gas_fired_combustion_turbine4,5,29,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144,0,1,0,0,0,-1,0,-1,0,9524,0,0,0,0,4.41,0,113,3.5,14.06,west_north_central_naturalgas,0.516,0,1,1,1,0,0,0,0,0,3.78,3.78,1,1
USA_Single,natural_gas_fired_combustion_turbine5,natural_gas_fired_combustion_turbine5,6,30,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,0,1,0,0,0,-1,0,-1,0,13415,0,0,0,0,4.41,0,113,3.5,11.74,west_north_central_naturalgas,0.483,0,1,1,1,0,0,0,0,0,3.78,3.78,1,1
USA_Single,natural_gas_steam_turbine1,natural_gas_steam_turbine1,1,31,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,1,0,0,0,-1,0,-1,0,48590,0,0,0,0,1,0,83,13.7,12.49,west_north_central_naturalgas,0.218,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,natural_gas_steam_turbine2,natural_gas_steam_turbine2,2,32,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,1,0,0,0,-1,0,-1,0,27261,0,0,0,0,1,0,83,13.7,10.61,west_north_central_naturalgas,0.25,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,nuclear,nuclear,1,33,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10752,0,1,0,0,0,-1,0,-1,0,201249,0,0,0,0,2.31,0,235,0,10.43,west_north_central_uranium,0.5,0,1,1,1,0,0,0,0,0,0.25,0.25,24,24
USA_Single,onshore_wind_turbine,onshore_wind_turbine,1,34,1,0.8,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,11989,0,1,0,0,0,-1,0,-1,0,43205,0,0,0,0,0,0,0,0,9.13,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,small_hydroelectric,small_hydroelectric,1,35,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,536,-1,1,0,0,0,-1,0,-1,0,44560,0,0,0,0,0,0,0,0,9.07,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,solar_photovoltaic,solar_photovoltaic,1,36,1,0.8,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4321,0,1,0,0,0,-1,0,-1,0,18760,0,0,0,0,0,0,0,0,9.14,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,naturalgas_ccavgcf_mid,naturalgas_ccavgcf_mid,0,37,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100000,0,-1,0,-1,93645,11928,0,0,0,0,1.54,0,95,2,6.27,west_north_central_naturalgas,0.2,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,naturalgas_ctavgcf_mid,naturalgas_ctavgcf_mid,0,38,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100000,0,-1,0,-1,73220,6673,0,0,0,0,4.3,0,123,3.5,9.9,west_north_central_naturalgas,0.3,0,1,1,1,0,0,0,0,0,3.78,3.78,1,1
USA_Single,nuclear_mid,nuclear_mid,0,40,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100000,0,-1,0,-1,500885,116151,0,0,0,0,2.26,0,256,0,10.46,west_north_central_uranium,0.5,0,1,1,1,0,0,0,0,0,0.25,0.25,24,24
USA_Single,naturalgas_ccs100_mid,naturalgas_ccs100_mid,0,41,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100000,0,-1,0,-1,229115,36020,0,0,0,0,6,0,95,0,7.89,west_north_central_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,landbasedwind_ltrg1_mid_40_1,landbasedwind_ltrg1_mid_40_1,1,42,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1378,0,-1,0,-1,126816,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_2,landbasedwind_ltrg1_mid_40_2,2,43,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1539,0,-1,0,-1,129260,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_3,landbasedwind_ltrg1_mid_40_3,3,44,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2957,0,-1,0,-1,129161,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_4,landbasedwind_ltrg1_mid_40_4,4,45,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,3526,0,-1,0,-1,132117,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_5,landbasedwind_ltrg1_mid_40_5,5,46,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2583,0,-1,0,-1,131882,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_6,landbasedwind_ltrg1_mid_40_6,6,47,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,355,0,-1,0,-1,142681,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_7,landbasedwind_ltrg1_mid_40_7,7,48,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1922,0,-1,0,-1,134761,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_8,landbasedwind_ltrg1_mid_40_8,8,49,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,3715,0,-1,0,-1,132807,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
USA_Single,landbasedwind_ltrg1_mid_40_9,landbasedwind_ltrg1_mid_40_9,9,50,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,9431,0,-1,0,-1,134685,39752,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,1,1,0,0
