Segment,1,2,3,4,Total
t35,54906.92380153688,2571.52,1542.912,192.864,54906.92380153688
t36,54386.92095553288,2549.2400000000002,1529.544,191.193,54386.92095553288
t37,53670.03370136488,2518.52,1511.112,188.889,53670.03370136488
t38,53908.685878867545,2499.68,1499.808,187.476,53908.685878867545
t39,54069.42809063555,2535.68,1521.4080000000001,190.17600000000002,54069.42809063555
t40,56399.376267435546,2664.68,1598.808,199.851,56399.376267435546
t41,60161.94596162888,2796.92,1678.152,209.769,60161.94596162888
t42,61788.78774138487,2866.68,1720.008,215.001,61788.78774138487
t43,62078.57442224088,2879.12,1727.472,215.934,62078.57442224088
t44,61294.01699665288,2830.96,1698.576,212.322,61294.01699665288
t45,58254.567484644875,2729.76,1637.856,204.732,58254.567484644875
t46,55969.538906250884,2602.7200000000003,1561.632,195.204,55969.538906250884
t47,51180.71660363488,2426.52,1455.912,181.989,51180.71660363488
t48,39734.90398319288,1921.28,1152.768,144.096,39734.90398319288
t49,30743.23470860888,1535.8,921.48,115.185,30743.23470860888
t50,25988.94650466087,1332.0,799.2,99.9,25988.94650466087
t51,24768.394703400874,1279.68,767.808,95.976,24768.394703400874
t52,27681.806381520877,1404.6000000000001,842.76,105.345,27681.806381520877
t53,36124.49596283088,1752.04,1051.224,131.403,36124.49596283088
t54,46565.029810838874,2228.76,1337.256,167.157,46565.029810838874
t55,56095.934593008875,2622.84,1573.704,196.713,56095.934593008875
t56,62924.02438550488,2915.6,1749.3600000000001,218.67000000000002,62924.02438550488
t57,64822.99452037288,2982.48,1789.488,223.686,64822.99452037288
t58,63018.822925500885,2934.2400000000002,1760.544,220.068,63018.822925500885
t59,62104.58114634887,2880.52,1728.3120000000001,216.03900000000002,62104.58114634887
t60,61345.46677967687,2833.44,1700.064,212.508,61345.46677967687
t61,59598.20332435687,2787.64,1672.584,209.073,59598.20332435687
t62,59540.982337820875,2756.08,1653.6480000000001,206.70600000000002,59540.982337820875
t63,59861.93586929287,2784.44,1670.664,208.833,59861.93586929287
t64,62601.222922568864,2916.48,1749.8880000000001,218.73600000000002,62601.222922568864
t65,66612.82130210489,3059.36,1835.616,229.452,66612.82130210489
t66,67719.62882474488,3135.92,1881.5520000000001,235.19400000000002,67719.62882474488
t67,68856.89899490688,3155.6,1893.3600000000001,236.67000000000002,68856.89899490688
t68,66836.28253811487,3098.08,1858.848,232.356,66836.28253811487
t69,64760.24918422887,2980.0,1788.0,223.5,64760.24918422887
t70,60722.471079988885,2836.0,1701.6000000000001,212.70000000000002,60722.471079988885
t71,56936.45587614088,2659.16,1595.496,199.437,56936.45587614088
t72,47706.60166062088,2248.92,1349.352,168.669,47706.60166062088
t73,36677.85619868488,1805.2,1083.1200000000001,135.39000000000001,36677.85619868488
t74,32397.02555149689,1592.6000000000001,955.5600000000001,119.44500000000001,32397.02555149689
t75,30266.313353240876,1530.3600000000001,918.216,114.777,30266.313353240876
t76,32379.818155988876,1606.44,963.864,120.483,32379.818155988876
t77,46342.51571914087,2205.08,1323.048,165.381,46342.51571914087
t78,56827.940086296876,2640.08,1584.048,198.006,56827.940086296876
t79,60992.17317964088,2847.7200000000003,1708.632,213.579,60992.17317964088
t80,65717.98771500889,3035.8,1821.48,227.685,65717.98771500889
t81,64365.70678446887,2977.84,1786.704,223.338,64365.70678446887
t82,62227.81039904888,2886.2000000000003,1731.72,216.465,62227.81039904888
t83,60612.888464650874,2802.44,1681.464,210.183,60612.888464650874
t84,58334.764391098885,2733.88,1640.328,205.041,58334.764391098885
t85,57702.04617369488,2677.68,1606.608,200.826,57702.04617369488
t86,56347.59083035888,2648.7200000000003,1589.232,198.654,56347.59083035888
t87,57591.14672750288,2672.96,1603.776,200.472,57591.14672750288
t88,59424.744489422876,2780.68,1668.4080000000001,208.55100000000002,59424.744489422876
t89,62583.08768664089,2901.56,1740.9360000000001,217.61700000000002,62583.08768664089
t90,63833.929923132884,2955.2000000000003,1773.1200000000001,221.64000000000001,63833.929923132884
t91,64679.03929584489,2962.36,1777.416,222.177,64679.03929584489
t92,62472.755923740886,2896.88,1738.128,217.266,62472.755923740886
t93,58763.41519303688,2766.96,1660.176,207.522,58763.41519303688
t94,55896.24708274887,2614.96,1568.976,196.122,55896.24708274887
t95,53002.15744135688,2476.36,1485.816,185.727,53002.15744135688
t96,49009.18093721288,2334.28,1400.568,175.071,49009.18093721288
t97,46174.06558847289,2198.2000000000003,1318.92,164.865,46174.06558847289
t98,46041.29374277554,2163.44,1298.064,162.258,46041.29374277554
t99,45868.93754687154,2185.16,1311.096,163.887,45868.93754687154
t100,46280.650679863546,2231.92,1339.152,167.394,46280.650679863546
t101,53904.03919088088,2529.68,1517.808,189.726,53904.03919088088
t102,59697.193247976866,2778.0,1666.8,208.35,59697.193247976866
t103,61098.38314858688,2823.64,1694.184,211.773,61098.38314858688
t104,60358.784215266875,2821.04,1692.624,211.578,60358.784215266875
t105,59573.808808186885,2758.28,1654.968,206.871,59573.808808186885
