,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1667,607.313284128,0.0,-0.0,0,-0.0,3521.8559999999998,49446.52424816888,0,0,-55029
t1668,607.313284128,0.0,-0.0,0,-0.0,1473.66,51045.72024816888,0,0,-54580
t1669,259.868,0.0,-0.0,0,-0.0,3614.516,48620.30953229688,0,0,-53948
t1670,259.868,0.0,-0.0,0,-0.0,0.0,51858.825532296876,0,0,-53572
t1671,259.868,0.0,-0.0,0,-0.0,1286.688,50612.137532296874,0,0,-53612
t1672,607.313284128,0.0,-0.0,0,-0.0,1297.8,50716.58024816887,0,0,-54075
t1673,607.313284128,0.0,-0.0,0,-0.0,0.0,53640.380248168876,0,0,-55701
t1674,607.313284128,0.0,-0.0,0,-0.0,0.0,55785.380248168876,0,0,-57846
t1675,607.313284128,0.0,-0.0,0,-0.0,175.029,56107.351248168874,0,0,-58343
t1676,607.313284128,0.0,-0.0,0,-0.0,0.0,55009.380248168876,0,0,-57070
t1677,259.868,0.0,-0.0,0,-0.0,3680.846,49543.97953229688,0,0,-54938
t1678,607.313284128,0.0,-0.0,0,-0.0,2040.68,46915.700248168876,0,0,-51017
t1679,607.313284128,0.0,-0.0,0,-0.0,2674.908,35188.47224816888,0,0,-39924
t1680,607.313284128,0.0,-0.0,0,-0.0,1245.0220000000002,25648.358248168875,0,0,-28954
t1681,607.313284128,0.0,-0.0,0,-0.0,1413.097,17617.283248168875,0,0,-21091
t1682,607.313284128,0.0,-0.0,0,-0.0,0.0,14600.380248168876,0,0,-16661
t1683,1286.253284128,0.0,-0.0,0,-0.0,0.0,13332.440248168876,0,0,-16072
t1684,607.313284128,0.0,-0.0,0,-0.0,851.873,16898.507248168877,0,0,-19811
t1685,259.868,0.0,-0.0,0,-0.0,0.0,24551.825532296876,0,0,-26265
t1686,607.313284128,0.0,-0.0,0,-0.0,1321.2,29648.180248168876,0,0,-33030
t1687,607.313284128,0.0,-0.0,0,-0.0,1094.958,37398.42224816888,0,0,-40554
t1688,607.313284128,0.0,-0.0,0,-0.0,0.0,48121.380248168876,0,0,-50182
t1689,259.868,0.0,-0.0,0,-0.0,0.0,57796.825532296876,0,0,-59510
t1690,607.313284128,0.0,-0.0,0,-0.0,0.0,59620.380248168876,0,0,-61681
t1691,607.313284128,0.0,-0.0,0,-0.0,0.0,59544.380248168876,0,0,-61605
t1692,607.313284128,0.0,-0.0,0,-0.0,184.329,59198.05124816888,0,0,-61443
t1693,259.868,0.0,-0.0,0,-0.0,0.0,59367.825532296876,0,0,-61081
t1694,607.313284128,0.0,-0.0,0,-0.0,3894.464,54895.916248168876,0,0,-60851
t1695,607.313284128,0.0,-0.0,0,-0.0,0.0,58747.380248168876,0,0,-60808
t1696,607.313284128,0.0,-0.0,0,-0.0,2434.2400000000002,56361.14024816888,0,0,-60856
t1697,607.313284128,0.0,-0.0,0,-0.0,3943.232,55609.14824816888,0,0,-61613
t1698,607.313284128,0.0,-0.0,0,-0.0,0.0,60628.380248168876,0,0,-62689
t1699,607.313284128,0.0,-0.0,0,-0.0,187.407,60220.97324816888,0,0,-62469
t1700,607.313284128,0.0,-0.0,0,-0.0,0.0,58202.380248168876,0,0,-60263
t1701,259.868,0.0,-0.0,0,-0.0,171.366,55237.459532296874,0,0,-57122
t1702,259.868,0.0,-0.0,0,-0.0,0.0,50968.825532296876,0,0,-52682
t1703,259.868,0.0,-0.0,0,-0.0,2877.315,38354.510532296874,0,0,-42945
t1704,1286.253284128,0.0,-0.0,0,-0.0,2121.5550000000003,26803.88524816888,0,0,-31665
t1705,607.313284128,0.0,-0.0,0,-0.0,1463.414,18317.966248168876,0,0,-21842
t1706,607.313284128,0.0,-0.0,0,-0.0,0.0,14685.380248168876,0,0,-16746
t1707,607.313284128,0.0,-0.0,0,-0.0,611.64,12618.740248168877,0,0,-15291
t1708,607.313284128,0.0,-0.0,0,-0.0,0.0,16540.380248168876,0,0,-18601
t1709,938.808,0.0,-0.0,0,-0.0,994.6,21478.28553229688,0,0,-24865
t1710,607.313284128,0.0,-0.0,0,-0.0,1360.2620000000002,28213.118248168877,0,0,-31634
t1711,607.313284128,0.0,-0.0,0,-0.0,945.96,36408.42024816888,0,0,-39415
t1712,607.313284128,0.0,-0.0,0,-0.0,3164.608,44221.772248168876,0,0,-49447
t1713,607.313284128,0.0,-0.0,0,-0.0,1593.945,55380.43524816888,0,0,-59035
t1714,607.313284128,0.0,-0.0,0,-0.0,1476.6960000000001,57991.68424816887,0,0,-61529
t1715,607.313284128,0.0,-0.0,0,-0.0,0.0,59786.380248168876,0,0,-61847
t1716,607.313284128,0.0,-0.0,0,-0.0,2672.364,57415.016248168875,0,0,-62148
t1717,259.868,0.0,-0.0,0,-0.0,0.0,60421.825532296876,0,0,-62135
t1718,607.313284128,0.0,-0.0,0,-0.0,0.0,60029.380248168876,0,0,-62090
t1719,607.313284128,0.0,-0.0,0,-0.0,4157.349999999999,55832.03024816888,0,0,-62050
t1720,607.313284128,0.0,-0.0,0,-0.0,1668.3029999999999,58060.07724816888,0,0,-61789
t1721,259.868,0.0,-0.0,0,-0.0,0.0,60427.825532296876,0,0,-62141
t1722,607.313284128,0.0,-0.0,0,-0.0,2730.887,58717.493248168874,0,0,-63509
t1723,607.313284128,0.0,-0.0,0,-0.0,1520.544,59774.836248168875,0,0,-63356
t1724,607.313284128,0.0,-0.0,0,-0.0,2447.8,56686.58024816887,0,0,-61195
t1725,259.868,0.0,-0.0,0,-0.0,2490.216,53708.609532296876,0,0,-57912
t1726,607.313284128,0.0,-0.0,0,-0.0,1290.1200000000001,50404.260248168874,0,0,-53755
t1727,1286.253284128,0.0,-0.0,0,-0.0,136.524,42631.916248168876,0,0,-45508
t1728,607.313284128,0.0,-0.0,0,-0.0,0.0,28504.380248168876,0,0,-30565
t1729,259.868,0.0,-0.0,0,-0.0,0.0,21776.825532296876,0,0,-23490
t1730,607.313284128,0.0,-0.0,0,-0.0,695.358,22998.022248168876,0,0,-25754
t1731,607.313284128,0.0,-0.0,0,-0.0,0.0,27093.380248168876,0,0,-29154
t1732,607.313284128,0.0,-0.0,0,-0.0,1803.439,23052.941248168874,0,0,-26917
t1733,259.868,0.0,-0.0,0,-0.0,0.0,28076.825532296876,0,0,-29790
t1734,607.313284128,0.0,-0.0,0,-0.0,0.0,32580.380248168876,0,0,-34641
t1735,607.313284128,0.0,-0.0,0,-0.0,3054.4629999999997,40473.91724816888,0,0,-45589
t1736,607.313284128,0.0,-0.0,0,-0.0,0.0,53972.380248168876,0,0,-56033
