,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t156,14934.233967584409,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-14591.67092
t157,14113.571966222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14428.72997
t158,14236.464089999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14236.46409
t159,14089.380499999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14089.3805
t160,14427.73078758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-14085.16774
t161,14205.773296524554,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14495.71866
t162,16631.003747584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16288.4407
t163,16387.003706524556,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16676.94907
t164,16724.772897584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16382.20985
t165,15708.216806524553,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15998.16217
t166,15762.517067584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-15419.95402
t167,14193.748626524553,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14483.69399
t168,13638.04338,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13638.04338
t169,7742.502546004,0.0,-0.0,0.0,-0.0,973.16031975,4259.808064246002,0.0,0.0,-12975.47093
t170,7072.57599547549,0.0,-0.0,0.0,-0.0,933.685806,4442.882278524511,0.0,0.0,-12449.14408
t171,7072.79112393351,0.0,-0.0,0.0,-0.0,907.3988452499999,4118.461300816489,0.0,0.0,-12098.65127
t172,7072.895952594594,0.0,-0.0,0.0,-0.0,0.0,4901.715487405406,0.0,0.0,-11974.61144
t173,7073.011768691126,0.0,-0.0,0.0,-0.0,901.9500674999999,4051.039063808874,0.0,0.0,-12026.0009
t174,7073.206407262128,0.0,-0.0,0.0,-0.0,922.25300625,4301.247336487872,0.0,0.0,-12296.70675
t175,7073.311486732533,0.0,-0.0,0.0,-0.0,959.5816972499999,4761.529446017467,0.0,0.0,-12794.42263
t176,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5902.262528314986,0.0,0.0,-12975.69688
t177,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,6330.072868314987,0.0,0.0,-13403.50722
t178,7073.434351685012,0.0,-0.0,0.0,-0.0,1027.01677125,5593.105827064986,0.0,0.0,-13693.55695
t179,7073.434351685012,0.0,-0.0,0.0,-0.0,1038.93074925,5740.044889064988,0.0,0.0,-13852.40999
t180,7073.434351685012,0.0,-0.0,0.0,-0.0,1039.836834,5751.219934314988,0.0,0.0,-13864.49112
t181,7073.434351685012,0.0,-0.0,0.0,-0.0,1033.31690625,5670.807492064988,0.0,0.0,-13777.55875
t182,7073.434351685012,0.0,-0.0,0.0,-0.0,1028.1474435,5607.050784814987,0.0,0.0,-13708.63258
t183,7073.434351685012,0.0,-0.0,0.0,-0.0,1023.21954975,5546.2734285649885,0.0,0.0,-13642.92733
t184,7073.434351685012,0.0,-0.0,0.0,-0.0,1026.15113325,5582.429625064988,0.0,0.0,-13682.01511
