,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t101,60025.39396218429,1761.3428251761507,-0.0,0,-0.0,0.0,0.0,0,0,-63242
t102,60790.63746966029,7204.099317700158,-0.0,0,-0.0,0.0,0.0,0,0,-69450
t103,60038.00317457929,9097.733612781143,-0.0,0,-0.0,0.0,0.0,0,0,-70591
t104,59555.74940038529,9514.987386975146,-0.0,0,-0.0,0.0,0.0,0,0,-70526
t105,60616.50700281029,6885.229784550145,-0.0,0,-0.0,0.0,0.0,0,0,-68957
t106,61380.87923935866,4257.857548001763,-0.0,0,-0.0,0.0,0.0,0,0,-67094
t107,64028.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-65484
t108,63973.947357472076,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64265
t109,69490.00114392536,0.0,-6595.053786453293,0,-0.0,0.0,0.0,0,0,-63186
t110,73929.02044704267,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-62396
t111,74320.02044704265,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-62787
t112,75875.37748863942,0.0,-10997.430131167332,0,-0.0,0.0,0.0,0,0,-65169
t113,73480.54596826607,0.0,-5707.598610793977,0,-0.0,0.0,0.0,0,0,-68064
t114,69216.9473574721,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-69508
t115,66535.84751009112,1830.8892772693398,-0.0,0,-0.0,0.0,0.0,0,0,-69822
t116,55087.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-68367
t117,52185.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-65465
t118,48585.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-61865
t119,54269.82569101545,2196.911096344985,-0.0,0,-0.0,0.0,0.0,0,0,-57922
t120,48007.7756516113,236.96113574914125,-0.0,0,-0.0,0.0,0.0,0,0,-49700
t121,46373.38277973837,0.0,-4757.435422266276,0,-0.0,0.0,0.0,0,0,-41907
t122,46235.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-34702
t123,40943.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-29410
t124,43694.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-32161
t125,47276.521374049844,0.0,-6718.57401657775,0,-0.0,0.0,0.0,0,0,-40849
t126,47832.7578713833,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-49240
t127,54443.335615492295,1539.4011718681518,-0.0,0,-0.0,0.0,0.0,0,0,-57438
t128,52053.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-65333
t129,52824.66369778986,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-66104
t130,51345.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-64625
t131,59022.376449865136,2725.3603374953154,-0.0,0,-0.0,0.0,0.0,0,0,-63203
t132,61851.947357472076,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-62143
t133,67498.02483637133,0.0,-6656.077478899246,0,-0.0,0.0,0.0,0,0,-61133
t134,71564.44380662283,0.0,-11528.49644915074,0,-0.0,0.0,0.0,0,0,-60327
t135,71876.02044704267,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-60343
t136,72552.55857024803,0.0,-10717.611212775939,0,-0.0,0.0,0.0,0,0,-62126
t137,70090.29050328999,0.0,-6162.343145817897,0,-0.0,0.0,0.0,0,0,-64219
t138,64513.57468881345,0.0,-59.62733134134646,0,-0.0,0.0,0.0,0,0,-64745
t139,64278.94735747208,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64570
t140,53592.164695238505,8120.572092121962,-0.0,0,-0.0,0.0,0.0,0,0,-63168
t141,47576.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-60856
