Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,620,17638.86549
,,,,,,,,621,17149.62237
,,,,,,,,622,16233.54871
,,,,,,,,623,14999.68007
,,,,,,,,624,13734.96596
,,,,,,,,625,12855.99961
,,,,,,,,626,12336.6437
,,,,,,,,627,12063.41306
,,,,,,,,628,12014.10495
,,,,,,,,629,12371.82926
,,,,,,,,630,13090.9172
,,,,,,,,631,14575.44778
,,,,,,,,632,15412.7959
,,,,,,,,633,15740.17203
,,,,,,,,634,16000.32523
,,,,,,,,635,16147.39907
,,,,,,,,636,16079.38787
,,,,,,,,637,16001.17183
,,,,,,,,638,16025.11798
,,,,,,,,639,15921.30625
,,,,,,,,640,15818.79923
,,,,,,,,641,15879.16264
,,,,,,,,642,16906.4499
,,,,,,,,643,17453.1246
,,,,,,,,644,17034.64076
,,,,,,,,645,16513.60722
,,,,,,,,646,15778.95076
,,,,,,,,647,14786.40218
,,,,,,,,648,13810.845
,,,,,,,,649,13016.53267
,,,,,,,,650,12480.93927
,,,,,,,,651,12158.45147
,,,,,,,,652,12022.92411
,,,,,,,,653,12120.85865
,,,,,,,,654,12519.07481
,,,,,,,,655,13099.81251
,,,,,,,,656,13493.14595
,,,,,,,,657,14143.07629
,,,,,,,,658,14570.64949
,,,,,,,,659,14805.13522
,,,,,,,,660,14779.52038
,,,,,,,,661,14597.32055
,,,,,,,,662,14423.80994
,,,,,,,,663,14290.24409
,,,,,,,,664,14261.70327
,,,,,,,,665,14408.7561
,,,,,,,,666,15594.20124
,,,,,,,,667,16475.93468
,,,,,,,,668,16209.76856
,,,,,,,,669,15809.84471
,,,,,,,,670,15166.60705
,,,,,,,,671,14317.31934
,,,,,,,,672,13408.46985
,,,,,,,,673,12719.65059
,,,,,,,,674,12209.84419
,,,,,,,,675,11892.2213
,,,,,,,,676,11767.52082
,,,,,,,,677,11802.41057
,,,,,,,,678,12090.55787
,,,,,,,,679,12506.32627
,,,,,,,,680,12782.8894
,,,,,,,,681,13287.1901
,,,,,,,,682,13546.07092
,,,,,,,,683,13688.952
,,,,,,,,684,13695.09084
,,,,,,,,685,13655.41447
,,,,,,,,686,13609.10374
,,,,,,,,687,13614.37127
,,,,,,,,688,13720.78444
,,,,,,,,689,14149.37734
,,,,,,,,690,15674.48603
,,,,,,,,691,16627.32006
,,,,,,,,692,16413.74535
,,,,,,,,693,15920.87881
,,,,,,,,694,15078.50273
,,,,,,,,695,13908.64851
,,,,,,,,696,12943.77419
,,,,,,,,697,12271.69047
,,,,,,,,698,11857.44077
,,,,,,,,699,11676.55109
,,,,,,,,700,11715.34125
,,,,,,,,701,12158.30241
,,,,,,,,702,13290.37999
,,,,,,,,703,14991.07276
,,,,,,,,704,16007.08358
,,,,,,,,705,16294.59414
,,,,,,,,706,16440.87913
,,,,,,,,707,16494.98861
,,,,,,,,708,16457.76231
,,,,,,,,709,16399.91732
,,,,,,,,710,16327.21282
,,,,,,,,711,16165.42884
,,,,,,,,712,16050.3575
,,,,,,,,713,16063.91667
,,,,,,,,714,17348.78747
,,,,,,,,715,18013.44242
,,,,,,,,716,17720.90291
,,,,,,,,717,17093.70094
,,,,,,,,718,16129.41034
,,,,,,,,719,14872.22388
,,,,,,,,720,13664.70928
,,,,,,,,721,12958.62754
,,,,,,,,722,12407.54785
,,,,,,,,723,12144.0562
,,,,,,,,724,12100.54152
,,,,,,,,725,12498.7935
,,,,,,,,726,13539.11936
,,,,,,,,727,15189.55931
,,,,,,,,728,16016.49246
,,,,,,,,729,16251.27017
,,,,,,,,730,16349.47014
,,,,,,,,731,16377.20177
,,,,,,,,732,16296.90429
,,,,,,,,733,16155.56234
,,,,,,,,734,16091.16483
,,,,,,,,735,15978.9831
,,,,,,,,736,15981.57285
,,,,,,,,737,16046.16571
,,,,,,,,738,17281.11502
,,,,,,,,739,17990.60378
,,,,,,,,740,17748.85209
,,,,,,,,741,17222.20465
,,,,,,,,742,16222.59154
,,,,,,,,743,14944.86305
,,,,,,,,744,13730.81844
,,,,,,,,745,12987.44589
,,,,,,,,746,12513.81289
,,,,,,,,747,12282.57637
,,,,,,,,748,12248.2146
,,,,,,,,749,12596.78809
,,,,,,,,750,13514.7279
,,,,,,,,751,15179.22387
,,,,,,,,752,16106.10242
,,,,,,,,753,16284.72732
,,,,,,,,754,16396.27733
,,,,,,,,755,16398.34943
,,,,,,,,756,16327.98064
,,,,,,,,757,16172.80605
,,,,,,,,758,16101.80733
,,,,,,,,759,15952.88204
,,,,,,,,760,15853.04048
,,,,,,,,761,15918.42644
,,,,,,,,762,17144.4673
,,,,,,,,763,18002.69222
,,,,,,,,764,17724.86729
,,,,,,,,765,17257.29746
,,,,,,,,766,16267.77353
,,,,,,,,767,15005.7574
,,,,,,,,768,13904.41454
,,,,,,,,769,13090.01674
,,,,,,,,770,12583.81132
,,,,,,,,771,12338.36977
,,,,,,,,772,12310.09005
,,,,,,,,773,12674.81563
