Zone,1,2,3
t39,60.50370405606909,59.76370846859893,59.32614529349441
t40,60.50370405606909,60.59298970510002,59.32614529349441
t41,119.63362864302596,118.17043959220614,117.30524842391324
t42,119.63362864302596,119.63362864302596,117.30524842391324
t43,119.63362864302596,119.63362864302596,117.30524842391324
t44,119.63362864302596,119.63362864302596,117.30524842391324
t45,119.63362864302596,119.63362864302596,117.30524842391324
t46,119.63362864302596,119.63362864302596,117.30524842391324
t47,119.63362864302596,119.63362864302596,117.30524842391324
t48,66.09517863414298,66.91357062814075,64.80879529648074
t49,66.09517863414298,66.91357062814075,64.80879529648074
t50,66.09517863414298,66.91357062814075,64.80879529648074
t51,66.09517863414298,66.91357062814075,64.80879529648074
t52,66.09517863414298,66.91357062814075,64.80879529648074
t53,66.09517863414298,66.91357062814075,64.80879529648074
t54,66.09517863414298,66.91357062814075,64.80879529648074
t55,119.63362864302596,118.17043959220614,117.30524842391324
t56,119.63362864302596,119.63362864302599,117.30524842391324
t57,61.7046360655058,60.949952379154766,60.5037040560691
t58,61.704636065505795,60.94995237915477,60.503704056069104
t59,61.704636065505795,60.949952379154766,60.503704056069104
t60,61.704636065505795,60.949952379154766,60.503704056069104
t61,61.7046360655058,60.94995237915477,60.5037040560691
t62,61.704636065505795,60.949952379154766,60.503704056069104
t63,61.7046360655058,60.949952379154766,60.5037040560691
t64,61.7046360655058,60.94995237915477,60.5037040560691
t65,119.63362864302596,118.17043959220614,117.30524842391324
t66,119.63362864302596,119.63362864302596,119.63362864302596
t67,119.63362864302596,119.63362864302596,119.63362864302596
t68,119.63362864302596,119.63362864302596,119.63362864302596
t69,119.63362864302596,119.63362864302596,117.30524842391324
t70,119.63362864302596,119.63362864302596,117.30524842391324
t71,119.63362864302596,119.63362864302596,117.30524842391324
t72,119.63362864302596,119.63362864302596,117.30524842391324
t73,119.63362864302596,119.63362864302596,117.30524842391324
t74,119.63362864302596,119.63362864302596,117.30524842391324
t75,119.63362864302596,119.63362864302596,117.30524842391324
t76,119.63362864302596,119.63362864302596,117.30524842391324
t77,119.63362864302596,119.63362864302596,117.30524842391324
t78,119.63362864302596,119.63362864302596,117.30524842391324
t79,119.63362864302596,119.63362864302596,117.30524842391324
t80,119.63362864302596,119.63362864302596,117.30524842391324
t81,100.9809432834572,100.9809432834572,99.01559262482154
t82,100.9809432834572,100.9809432834572,99.01559262482154
t83,100.9809432834572,100.9809432834572,99.01559262482154
t84,100.9809432834572,99.74588745317142,99.01559262482154
t85,100.98094328345718,100.9809432834572,99.01559262482151
t86,100.9809432834572,100.9809432834572,99.01559262482154
t87,100.9809432834572,100.9809432834572,99.01559262482154
t88,100.98094328345718,100.9809432834572,99.01559262482151
t89,119.63362864302596,119.63362864302596,117.30524842391324
t90,119.63362864302596,119.63362864302596,119.63362864302596
t91,119.63362864302596,119.63362864302596,119.63362864302596
t92,119.63362864302596,119.63362864302596,117.30524842391324
t93,119.63362864302596,119.63362864302596,117.30524842391324
t94,119.63362864302596,119.63362864302596,117.30524842391324
t95,119.63362864302596,119.63362864302596,117.30524842391324
t96,119.63362864302596,119.63362864302596,117.30524842391324
t97,118.17043959220614,119.63362864302596,115.870536821127
t98,100.98094328345718,102.23129160291589,99.01559262482151
t99,100.98094328345718,102.23129160291589,99.01559262482151
t100,100.9809432834572,102.2312916029159,99.01559262482154
t101,100.9809432834572,102.2312916029159,99.01559262482154
t102,119.63362864302596,119.63362864302596,117.30524842391324
t103,119.63362864302596,119.63362864302596,117.30524842391324
t104,119.63362864302596,119.63362864302596,117.30524842391324
t105,119.63362864302596,119.63362864302596,117.30524842391324
t106,100.9809432834572,100.9809432834572,99.01559262482154
t107,100.9809432834572,100.9809432834572,99.01559262482154
t108,100.9809432834572,99.74588745317142,99.01559262482154
t109,100.9809432834572,100.9809432834572,99.01559262482154
t110,100.9809432834572,100.9809432834572,99.01559262482154
t111,100.9809432834572,100.9809432834572,99.01559262482154
t112,100.9809432834572,100.9809432834572,99.01559262482154
t113,119.63362864302596,119.63362864302596,117.30524842391324
t114,119.63362864302596,119.63362864302596,117.30524842391324
t115,119.63362864302596,119.63362864302596,117.30524842391324
t116,119.63362864302596,119.63362864302596,117.30524842391324
t117,119.63362864302596,119.63362864302596,117.30524842391324
t118,119.63362864302596,119.63362864302596,117.30524842391324
t119,119.63362864302596,119.63362864302596,117.30524842391324
t120,119.63362864302596,119.63362864302596,117.30524842391324
t121,100.9809432834572,102.2312916029159,99.01559262482154
t122,100.9809432834572,100.98094328345718,99.01559262482154
t123,100.98094328345718,100.98094328345718,99.01559262482151
t124,100.98094328345718,100.98094328345718,99.01559262482151
t125,100.98094328345718,100.9809432834572,99.01559262482151
t126,119.63362864302596,119.63362864302596,117.30524842391324
