,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t6686,18780.466282885594,25.801147114403733,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18806.26743
t6687,18910.64844532942,117.22347015564897,-18.287725485068755,0.0,-0.0,0.0,0.0,0.0,0.0,-19009.58419
t6688,19038.656659149437,15.478730850562172,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-19054.13539
t6689,19164.36063412518,0.0,-318.62616412518065,0.0,-0.0,0.0,0.0,0.0,0.0,-18845.73447
t6690,18353.12274,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18353.12274
t6691,18345.669214553523,0.0,-53.72497455352565,0.0,-0.0,0.0,0.0,0.0,0.0,-18291.94424
t6692,18632.11250622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18947.27051
t6693,18396.62735,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18396.62735
t6694,17588.0135,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17588.0135
t6695,16398.88138,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16398.88138
t6696,15097.11462,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15097.11462
t6697,14208.72851,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14208.72851
t6698,13543.24698,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13543.24698
t6699,13155.27816,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13155.27816
t6700,12906.02704,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12906.02704
t6701,12915.74515,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12915.74515
t6702,13129.080991094297,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-13099.2929
t6703,13962.04815758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13619.48511
t6704,13891.28123,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13891.28123
t6705,14371.21999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14371.21999
t6706,15158.30222,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15158.30222
t6707,15422.981056222341,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15738.13906
t6708,16136.529450000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16136.529450000002
t6709,16356.985309999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16356.985309999998
t6710,16427.47443,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16427.47443
t6711,16588.93652,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16588.93652
t6712,16776.79532,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16776.79532
t6713,16833.1878,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16833.1878
t6714,16737.490851094295,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-16707.70276
t6715,17421.664047584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17079.101
t6716,17503.45536622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17818.61337
